Constituency,Sl_No,Candidate_Name,Party,Symbol
Gummidipoondi,1,T.J.GOVINDARAJAN,Dravida Munnetra Kazhagam,Rising sun
Gummidipoondi,2,SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,Two leaves
Gummidipoondi,3,M.JAGADEESAN,Bahujan Samaj Party,Elephant
Gummidipoondi,4,R.SRIDAR. B.L.,Naam Tamilar Katchi,Farmer Carrying Plough
Gummidipoondi,5,SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Gas cylinder
Gummidipoondi,6,K. CHANDRA SEKAR,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Pestle and mortar
Gummidipoondi,7,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,Whistle
Gummidipoondi,8,M.KUMARAN,Independent,Diamond
Gummidipoondi,9,GOPAL.K,Independent,Letter box
Gummidipoondi,10,T.GOVINDAN,Independent,Ship
Gummidipoondi,11,A.H. SIVA GANESH,Independent,Batsman
Gummidipoondi,12,D.SUDHAKAR,Independent,Peas
Gummidipoondi,13,V.SUDHAKAR,Independent,Water melon
Gummidipoondi,14,D.DINESH,Independent,Road roller
Gummidipoondi,15,G.RANJITH B.SC.L.L.B,Independent,Crane
Ponneri,1,DURAI CHANDRASEKAR,Indian National Congress,Hand
Ponneri,2,SANTHOSHKUMAR.J,Bahujan Samaj Party,Elephant
Ponneri,3,BALARAMAN.P,All India Anna Dravida Munnetra Kazhagam,Two leaves
Ponneri,4,RAJATHI.M,Naam Tamilar Katchi,Farmer Carrying Plough
Ponneri,5,ASHOK PRIYADARSHAN,Desiya Makkal Sakthi Katchi,Football player
Ponneri,6,RAJA.S,Vanchit Bahujan Aaghadi,Gas cylinder
Ponneri,7,KOTTEESWARAN. K,Tamizhaga Vaazhvurimai Katchi,Camera
Ponneri,8,MALATHI.S,Tamizhaga Murpokku Makkal Katchi,Matchbox
Ponneri,9,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,Whistle
Ponneri,10,NAGAIYAN.G,Independent,Batsman
Ponneri,11,BARATHIRAJA.K,Independent,Brush
Ponneri,12,RAJASEKAR.J,Independent,Pen drive
Ponneri,13,VENKATESAN.S,Independent,Water melon
Tiruttani,1,G.HARI,All India Anna Dravida Munnetra Kazhagam,Two leaves
Tiruttani,2,D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,Nagara
Tiruttani,3,CHANDRAN .S.S,Naam Tamilar Katchi,Farmer Carrying Plough
Tiruttani,4,MUTHURAJ.G,Bahujan Samaj Party,Elephant
Tiruttani,5,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,Whistle
Tiruttani,6,BALAJI.A,Thakkam Katchi,Matchbox
Tiruttani,7,PAVENDHAN.Y.R,Tamizhaga Vaazhvurimai Katchi,Camera
Tiruttani,8,KRISHNAMOORTHY.K,Independent,Diamond
Tiruttani,9,KRISHNAMOORTHY.D,Independent,Pestle and mortar
Tiruttani,10,KRISHNAMOORTHY.M,Independent,Noodles bowl
Tiruttani,11,SHETTU.S,Independent,Gas cylinder
Tiruttani,12,DR.A.V.NARENDRAN,Independent,Bangles
Tiruttani,13,JAMBU.B,Independent,Bucket
Thiruvallur,1,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,Rising sun
Thiruvallur,2,K. SENTHILKUMAR,Naam Tamilar Katchi,Farmer Carrying Plough
Thiruvallur,3,BE  VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam,Two leaves
Thiruvallur,4,B. RAJESH KUMAR,Bahujan Samaj Party,Elephant
